                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.4736,                 1.8367,                 1.9705,                0.65343,                0.42371,                0.41871,                0.23161,                 1.7703,                 2.1946,                 2.6921,               0.002971,               0.002971,               0.002971
                     73,                 1.4677,                 1.8509,                 1.9744,                0.64902,                0.43483,                0.40606,                0.21849,                   1.76,                 2.1776,                 2.6644,               0.002872,               0.002872,               0.002872
                     74,                 1.4275,                 1.7831,                 1.9372,                0.62491,                0.45712,                0.43333,                 0.2483,                 1.8053,                 2.2071,                 2.6793,               0.002773,               0.002773,               0.002773
                     75,                 1.4883,                 1.8384,                 1.9814,                0.62018,                0.47417,                 0.4364,                0.24958,                 1.7902,                 2.2064,                 2.6993,               0.002674,               0.002674,               0.002674
                     76,                 1.4382,                 1.8079,                 1.9539,                 0.6589,                0.43995,                0.43407,                0.24288,                 1.7772,                 2.1886,                 2.6695,               0.002575,               0.002575,               0.002575
                     77,                 1.4599,                 1.8369,                   1.96,                0.69745,                0.42642,                0.43221,                0.23892,                 1.7733,                 2.1749,                  2.676,               0.002476,               0.002476,               0.002476
                     78,                 1.4639,                 1.8194,                  1.977,                0.71657,                0.42239,                0.44194,                0.24733,                 1.7828,                 2.1681,                 2.6608,               0.002377,               0.002377,               0.002377
                     79,                 1.4338,                 1.7798,                 1.9369,                0.67569,                0.47242,                0.44426,                 0.2499,                 1.7823,                 2.1591,                 2.6415,               0.002278,               0.002278,               0.002278
                     80,                 1.4181,                 1.7629,                 1.9243,                0.64638,                0.46816,                0.44117,                0.25272,                 1.7918,                 2.1724,                 2.6377,               0.002179,               0.002179,               0.002179
                     81,                 1.4539,                 1.8357,                 1.9699,                0.66726,                0.42109,                0.42037,                0.24473,                 1.7721,                 2.2185,                 2.6259,                0.00208,                0.00208,                0.00208
                     82,                 1.4348,                 1.7714,                 1.9388,                 0.7266,                0.40763,                 0.4225,                0.23189,                 1.7465,                  2.189,                 2.6505,               0.001981,               0.001981,               0.001981
                     83,                 1.4329,                 1.7999,                 1.9496,                0.68398,                0.42753,                0.41842,                0.23285,                 1.7267,                 2.1788,                 2.6355,               0.001882,               0.001882,               0.001882
                     84,                 1.4655,                 1.8331,                 1.9719,                 0.6858,                0.42712,                0.42044,                0.23776,                 1.7213,                 2.1519,                 2.5987,               0.001783,               0.001783,               0.001783
                     85,                 1.3886,                 1.7634,                 1.9171,                0.66437,                0.43483,                0.42133,                0.23521,                 1.7473,                 2.1505,                 2.6401,               0.001684,               0.001684,               0.001684
                     86,                 1.4529,                 1.8297,                 1.9726,                0.64376,                0.43731,                0.42044,                 0.2385,                 1.7389,                 2.1345,                 2.6084,               0.001585,               0.001585,               0.001585
                     87,                 1.4345,                 1.8002,                 1.9519,                0.65384,                0.43884,                0.41243,                0.23822,                 1.7155,                 2.1403,                 2.5887,               0.001486,               0.001486,               0.001486
                     88,                 1.4278,                 1.7868,                 1.9567,                0.65118,                 0.4398,                0.41999,                0.24304,                 1.7425,                 2.1719,                 2.5959,               0.001387,               0.001387,               0.001387
                     89,                 1.4121,                 1.7683,                 1.9244,                0.66458,                 0.4534,                0.42459,                0.23685,                 1.7358,                 2.1246,                 2.6085,               0.001288,               0.001288,               0.001288
